id,name,category,release,cover_photo,description,requirements,download
11,Stage Presence ,4,"28 February, 2017."" ",http://oceanofgames.com/wp-content/uploads/2017/03/Stage-Presence-Free-Download.jpg,"<p><a href=\""http://oceanofgames.com/stage-presence-free-download/\"" target=\""_blank\"">Stage Performance</a> is a comedy karaoke game where you have to satisfy the mob. You are playing as a lead vocalist in the unluckiest band of the world where the band equipments fail in front of a huge crowd. The crowds will get mad at you if you will not satisfy them. They will become angrier and will throw bottles at you along with shining the lasers in your eyes. Stage Presence has got a unique Multiplayer mode and you can also play as one of the crowd in the game of others. This game has got full VR support and you will feel as if the crowd is throwing bottles on you in reality. Other multiplayer modes included in this game are Survival and Karaoke. You can also download <a href=\""http://oceanofgames.com/60-seconds-pc-game-free-download/\"" target=\""_blank\"">60 Seconds</a>.</p>",<ul><li><strong>Tested on Windows 7 64-Bit</strong></li><li>Operating System: Windows 7/8/8.1/10</li><li>CPU: Intel i5 or later.</li><li>RAM: 8GB</li><li>Setup Size: 1.4GB</li><li>Hard Disk Space: 2GB</li></ul>,"<form action=\""http://oceanofgames.com/Cloud-VPS-Download.php\"" method=\""post\"" target=\""_blank\""><input name=\""filename\"" type=\""hidden\"" value=\""Stage_Presence.iso\""><br> <input name=\""filesize\"" type=\""hidden\"" value=\""1.4GB\""><br> <input name=\""id\"" type=\""hidden\"" value=\""7ser\""><div align=\""center\""><input alt=\""Download\"" height=\""99\"" src=\""http://oceanofgames.com/wp-content/uploads/2013/09/button-download.png\"" type=\""image\"" width=\""184\""></div></form>"
12,Langoth ,1,,http://oceanofgames.com/wp-content/uploads/2017/03/Langoth-Free-Download.jpg,"<p>In <a href=\""http://oceanofgames.com/langoth-free-download/\"" target=\""_blank\"">Langoth</a> you will experience yourself in a secret location, you know nothing about the world around and this world is fake, which is made up of magnificent multi-level simulation. Suddenly a kind of virus attack into whole program system due to this all the living entities disappear and turn into virus cells. These virus cells start eating the remaining part of all the matter of the secret planet. While running you will experience the long range of your deadly enemies they may be in form of bombs or in any other killing shape. In Langoth you will experience the beautiful stylized graphics behind you and the background sound will make game more interesting and enable user to enjoy the real experience. You can also download <a href=\""http://oceanofgames.com/far-cry-4-free-download/\"" target=\""_blank\"">Far Cry 4</a>.</p>",<ul><li><strong>Tested on Windows 7 64-Bit.</strong></li><li>Operating System: Windows 7/8/8.1/10</li><li>CPU: Intel Core i3 or later.</li><li>RAM: 4GB</li><li>Setup Size: 1.7GB</li><li>Hard Disk Space: 4GB</li></ul>,"<form action=\""http://oceanofgames.com/Cloud-VPS-Download.php\"" method=\""post\"" target=\""_blank\""><input name=\""filename\"" type=\""hidden\"" value=\""Langoth.iso\""><br> <input name=\""filesize\"" type=\""hidden\"" value=\""1.7GB\""><br> <input name=\""id\"" type=\""hidden\"" value=\""7ser\""><div align=\""center\""><input alt=\""Download\"" height=\""99\"" src=\""http://oceanofgames.com/wp-content/uploads/2013/09/button-download.png\"" type=\""image\"" width=\""184\""></div></form>"
83,DeadTruth The Dark Path Ahead ,1,"20 January, 2016",http://oceanofgames.com/wp-content/uploads/2017/01/DeadTruth-The-Dark-Path-Ahead-Free-Download.jpg,"<p><a href=\""http://oceanofgames.com/deadtruth-the-dark-path-ahead-free-download/\"" target=\""_blank\"">DeadTruth The Dark Path Ahead</a> has got a very complicated and emotional story that has been filled with loads of dark and mystifying secrets. It is the 1<sup>st</sup> episode of the DeathTruth series. You are going to play as Michael Anderson who is going through the worst nightmare of his life after the loss of his loved ones. In these testing times where he has already lost his parents and wife he has again been pulled in to the well of despair as his brother Lusifer is also missing. Now he is dejected but in order to find the solution and peace he decided to immerse himself into the dark. DeadTruth The Dark Path Ahead has got loads of 8s solving challenges which you need to go through. This game has got a very high quality environment with highly detailed graphics. The music and the sounds are imposing and very sophisticated. The story of DeadTruth The Dark Path Ahead is very gripping where you are going to solve the mystery of your missing brother. You can also download <a href=\""http://oceanofgames.com/postal-redux-free-download/\"" target=\""_blank\"">POSTAL Redux</a>.</p>",<ul><li><strong>Tested on Windows 7 64-Bit</strong></li><li>Operating System: Windows 7/8/8.1/10</li><li>CPU: Intel core i5 or later.</li><li>RAM: 8GB</li><li>Setup Size: 4.1GB</li><li>Hard Disk Space: 6GB</li></ul>,"<form action=\""http://oceanofgames.com/Cloud-VPS-Download.php\"" method=\""post\"" target=\""_blank\""><input name=\""filename\"" type=\""hidden\"" value=\""Deadtruth_The_Dark_Path_Ahead.iso\""><br> <input name=\""filesize\"" type=\""hidden\"" value=\""4.1GB\""><br> <input name=\""id\"" type=\""hidden\"" value=\""87.120.36.18\""><div align=\""center\""><input alt=\""Download\"" height=\""99\"" src=\""http://oceanofgames.com/wp-content/uploads/2013/09/button-download.png\"" type=\""image\"" width=\""184\""></div></form>"
13,Torment Tides of Numenera ,5,"26 January, 2016",http://oceanofgames.com/wp-content/uploads/2017/03/Torment-Tides-of-Numenera-Free-Download.jpg,"<p>The story of <a href=\""http://oceanofgames.com/torment-tides-of-numenera-free-download/\"" target=\""_blank\"">Torment Tides of Numenera</a> is quite deep and thematically satisfying. It features a world which is different than the other worlds known as Ninth World and you have to explore this world. It has got a Crisis system and the combat featured in this game is more than bashing. In this game your choices will shape up the gameplay and the end result so you have to be very careful in making decisions. With some scintillating graphics and commendable sounds Torment Tides of Numenera is a game you should surely try. You can also download <a href=\""http://oceanofgames.com/shadowrun-hong-kong-free-download/\"" target=\""_blank\"">Shadowrun Hong Kong</a>.</p>",<ul><li><strong>Tested on Windows 7 64-Bit</strong></li><li>Operating System: Windows 7/8/8.1/10</li><li>CPU: Intel Core i3 or later.</li><li>RAM: 4GB</li><li>Setup Size: 4.8GB</li><li>Hard Disk Space: 20GB</li></ul>,"<form action=\""http://oceanofgames.com/Cloud-VPS-Download.php\"" method=\""post\"" target=\""_blank\""><input name=\""filename\"" type=\""hidden\"" value=\""Torment_Tides_of_Numenera.iso\""><br> <input name=\""filesize\"" type=\""hidden\"" value=\""4.8GB\""><br> <input name=\""id\"" type=\""hidden\"" value=\""7ser\""><div align=\""center\""><input alt=\""Download\"" height=\""99\"" src=\""http://oceanofgames.com/wp-content/uploads/2013/09/button-download.png\"" type=\""image\"" width=\""184\""></div></form>"
,,,,,,,
15,Moon Hunters ,5,"11 March, 2016",http://oceanofgames.com/wp-content/uploads/2017/02/Moon-Hunters-Free-Download.jpg,"<p><a href=\""http://oceanofgames.com/moon-hunters-free-download/\"" target=\""_blank\"">Moon Hunters</a> has been set in in an ancient world which will be different every time you game it. You have got 5 days before a war is declared by King Mardokh and the Sun Cultists on the tribe of Issaria. This game has got a short but gripping story and you need to unleash some new sides of the characters, narratives and conflicts. There are 6 player character classes and each of them has got their own skills and abilities. The gameplay is well crafted dungeons crawl and the full run-through will last for 45 minutes. Moon Hunters has got scintillating visuals and the sounds are awesome as well. You can also download <a href=\""http://oceanofgames.com/torn-tales-free-download/\"" target=\""_blank\"">Torn Tales</a>.</p>",<ul><li><strong>Tested on Windows 7 64-Bit</strong></li><li>Operating System: Windows 7/8/8.1/10</li><li>CPU: 2.6GHz Intel Dual Core processor or later.</li><li>RAM: 2GB</li><li>Setup Size: 450.6MB</li><li>Hard Disk Space: 2GB</li></ul>,"<form action=\""http://oceanofgames.com/Cloud-VPS-Download.php\"" method=\""post\"" target=\""_blank\""><input name=\""filename\"" type=\""hidden\"" value=\""Moon_Hunters.iso\""><br> <input name=\""filesize\"" type=\""hidden\"" value=\""450.6MB\""><br> <input name=\""id\"" type=\""hidden\"" value=\""7ser\""><div align=\""center\""><input alt=\""Download\"" height=\""99\"" src=\""http://oceanofgames.com/wp-content/uploads/2013/09/button-download.png\"" type=\""image\"" width=\""184\""></div></form>"
16,Heroes of Normandie ,6,,http://oceanofgames.com/wp-content/uploads/2017/03/Heroes-of-Normandie-Free-Download.jpg,"<p>In <a href=\""http://oceanofgames.com/heroes-of-normandie-free-download/\"" target=\""_blank\"">Heroes of Normandie</a> you are going to play the modern, exciting and fun engaged game through out of your life time gaming experience. It is a fast-paced game, in which you have given the command of little teams of varying sizes from one another. The game is full of danger with its bombastic surrounding which is spread with the combination of equipment, units and abilities. The game presents three different armies which will help you a lot in completing your task or mission you are leading. There are more than one ways to complete the mission or hit the target. It is totally depends on you how you tackle the situation easily and according to scenario of the battle. There are also quick battles in the game which enables you to play in single mode or multi-player mode. You may also like to download <a href=\""http://oceanofgames.com/boogeyman-2-pc-game-free-download/\"" target=\""_blank\"">Boogeyman 2</a>.</p>",<ul><li><strong>Tested on Windows 7 64-Bit</strong></li><li>Operating System: Windows Vista/7/8/8.1/10</li><li>CPU: Intel Pentium 4 or equivalent</li><li>RAM: 1GB</li><li>Setup Size: 803.7MB</li><li>Hard Disk Space: 2GB</li></ul>,"<form action=\""http://oceanofgames.com/Cloud-VPS-Download.php\"" method=\""post\"" target=\""_blank\""><input name=\""filename\"" type=\""hidden\"" value=\""Heroes_of_Normandie.iso\""><br> <input name=\""filesize\"" type=\""hidden\"" value=\""803.7MB\""><br> <input name=\""id\"" type=\""hidden\"" value=\""7ser\""><div align=\""center\""><input alt=\""Download\"" height=\""99\"" src=\""http://oceanofgames.com/wp-content/uploads/2013/09/button-download.png\"" type=\""image\"" width=\""184\""></div></form>"
17,Schacht ,1,"28 February, 2017",http://oceanofgames.com/wp-content/uploads/2017/03/Schacht-Free-Download.jpg,"<p>Schacht has its main focus on speedrunning and competition where different game mechanics can be used for beating the levels as quickly as possible. There are four different tutorial levels where core mechanics can be learned. The four tutorial levels are Dash, Wall Run, Grapple and EMP etc. In Dash level the characters will gain instantly forward momentum for covering large distances. In the Wall Run the characters will be able to run on the specific wall. In the Grapple level the characters will be enabled to swing from one place to another. In the EMP level the characters can set off an EMP for manipulating barriers, traps and platforms. Once you are done with your tutorials you have the choice to select levels from millions available. This game has also got a Level Editor where the player can create their own levels and later share them with the community. You can also download <a href=\""http://oceanofgames.com/ocean-city-racing-redux-free-download/\"" target=\""_blank\"">OCEAN CITY RACING Redux</a>.</p>",<ul><li><strong>Tested on Windows 7 64-Bit</strong></li><li>Operating System: Windows 7/8/8.1/10</li><li>CPU: Intel Quad Core processor or later.</li><li>RAM: 4GB</li><li>Setup Size: 2.4GB</li><li>Hard Disk Space: 6GB</li></ul>,"<form action=\""http://oceanofgames.com/Cloud-VPS-Download.php\"" method=\""post\"" target=\""_blank\""><input name=\""filename\"" type=\""hidden\"" value=\""Schacht.iso\""><br> <input name=\""filesize\"" type=\""hidden\"" value=\""2.4GB\""><br> <input name=\""id\"" type=\""hidden\"" value=\""7ser\""><div align=\""center\""><input alt=\""Download\"" height=\""99\"" src=\""http://oceanofgames.com/wp-content/uploads/2013/09/button-download.png\"" type=\""image\"" width=\""184\""></div></form>"
884,Beyond Space Remastered ,1,,http://oceanofgames.com/wp-content/uploads/2016/08/Beyond-Space-Remastered-Free-Download.jpg,"<p>This 3D shooter game will take you in the dark portions of space where you can explore numerous planets, nebulas and asteroid fields. <a href=\""http://oceanofgames.com/beyond-space-remastered-free-download/\"" target=\""_blank\"">Beyond Space Remastered</a> PC game features beautifully depicted spacescapes, stunning 3D graphics and awesome special effects. And whats more it has got staggering soundtracks and sound effects. IN this game Max Walker has some missions to complete which will take him beyond the limits of space fighting different counterparts. During his journey he will have to tackle the pirates, politicians, ambitious leaders and fraudulent allies. You will be accompanying Max Walker and will be taking control of the powerful Spacefighter. The enemies out there are smart and different units of armies will come up with different tactics to defeat you so you need to be up on your toes all the time. The remastered version has come up with few enhancements like enhanced graphics and GPU performance and added gamepad support. The compatibility issues have been fixed while a new AI system has also been introduced. Some stability issues on PC/MAC hardware have also been resolved. You can also download <a href=\""http://oceanofgames.com/space-rangers-hd-a-war-apart-free-download/\"" target=\""_blank\"">Space Rangers HD A War Apart</a>.</p>",<ul><li>Operating System: <strong>Tested on Windows 7 64 Bit</strong></li><li>CPU: Intel Core 2 Duo or later.</li><li>RAM: 2GB</li><li>Setup Size: 891.9MB</li><li>Hard Disk Space: 2GB</li></ul>,"<form action=\""http://oceanofgames.com/Cloud-VPS-Download.php\"" target=\""_blank\"" method=\""post\""> <input type=\""hidden\"" name=\""filename\"" value=\""Beyond_Space_Remastered.iso\""><br> <input type=\""hidden\"" name=\""filesize\"" value=\""891.9MB\""><br> <input type=\""hidden\"" name=\""id\"" value=\""85.25.103.132\""><div align=\""center\""> <input type=\""image\"" alt=\""Download\"" height=\""99\"" src=\""http://oceanofgames.com/wp-content/uploads/2013/09/button-download.png\"" width=\""184\""></div></form>"
18,Oracle ,5,"1 March, 2017",http://oceanofgames.com/wp-content/uploads/2017/03/Oracle-Free-Download.jpg,"<p>In <a href=\""http://oceanofgames.com/oracle-free-download/\"" target=\""_blank\"">Oracle</a> you are going to experience open world with loads of different locations ready to be explored. It has got a gripping story which you need to unleash. You are required to discover the secrets of a mysterious island. You are required to find the truth about Quijana. You also have to find out what is happening in the world and why on earth you are alone. Oracle has got a day and night cycle as well as weather system with a gripping gameplay. Oracle has got 30 different locations which are needed to be explored. You can also download <a href=\""http://oceanofgames.com/absent-mind-free-download/\"" target=\""_blank\"">Absent Mind</a>.</p>",<ul><li><strong>Tested on Windows 7 64-Bit</strong></li><li>Operating System: Windows 7/8/8.1/10</li><li>CPU: 2.4GHz Intel Quad core processor or later.</li><li>RAM: 1GB</li><li>Setup Size: 912.4MB</li><li>Hard Disk Space: 2GB</li></ul>,"<form action=\""http://oceanofgames.com/Cloud-VPS-Download.php\"" method=\""post\"" target=\""_blank\""><input name=\""filename\"" type=\""hidden\"" value=\""Oracle.iso\""><br> <input name=\""filesize\"" type=\""hidden\"" value=\""912.4MB\""><br> <input name=\""id\"" type=\""hidden\"" value=\""7ser\""><div align=\""center\""><input alt=\""Download\"" height=\""99\"" src=\""http://oceanofgames.com/wp-content/uploads/2013/09/button-download.png\"" type=\""image\"" width=\""184\""></div></form>"
19,King Of Dirt ,3,"1 March, 2017",http://oceanofgames.com/wp-content/uploads/2017/03/King-of-Dirt-Free-Download.jpg,"<p><a href=\""http://oceanofgames.com/king-of-dirt-free-download/\"" target=\""_blank\"">King Of Dirt</a> is considered as the best BMX game where you are going to perform backflips and loads of other unbelievable tricks. This game has got 6 legendary bikes as well as 9 arenas to prove your mettle. There are more than 20 crazy stunts included in this game. This game can be played with 1<sup>st</sup> as well as 3<sup>rd</sup> person perspective. This game is highly customizable game where you can easily customize your bike plus can learn various different stunts. This game has got awesome graphics and the background music is also very catchy. You can also download <a href=\""http://oceanofgames.com/assetto-corsa-free-download/\"" target=\""_blank\"">Assetto Corsa</a>.</p>",<ul><li><strong>Tested on Windows 7 64-Bit</strong></li><li>Operating System: Windows 7/8/8.1/10</li><li>CPU: Intel Core i3 or later.</li><li>RAM: 2GB</li><li>Setup Size: 414.8MB</li><li>Hard Disk Space: 1.5GB</li></ul>,"<form action=\""http://oceanofgames.com/Cloud-VPS-Download.php\"" method=\""post\"" target=\""_blank\""><input name=\""filename\"" type=\""hidden\"" value=\""King_Of_Dirt.iso\""><br> <input name=\""filesize\"" type=\""hidden\"" value=\""414.8MB\""><br> <input name=\""id\"" type=\""hidden\"" value=\""7ser\""><div align=\""center\""><input alt=\""Download\"" height=\""99\"" src=\""http://oceanofgames.com/wp-content/uploads/2013/09/button-download.png\"" type=\""image\"" width=\""184\""></div></form>"
,,,,,,,
21,Sherlock Holmes The Devil’s Daughter ,1,"10 June, 2016",http://oceanofgames.com/wp-content/uploads/2017/02/Sherlock-Holmes-The-Devil’s-Daughter-Free-Download.jpg,"<p><a href=\""http://oceanofgames.com/sherlock-holmes-the-devils-daughter-free-download/\"" target=\""_blank\"">Sherlock Holmes The Devil’s Daughter</a> is a combination of action and investigation which will test your brains and intelligence. You are playing as Sherlock Holmes, a great detective and you need to track down evil in the dark streets of London. Your actions will have the direct impact on the story. You can explore different sections of the city and search for the clues and suspects. It is a gripping action game where there are loads of impressive chases, infiltration and interrogation. Sherlock Holmes The Devil’s Daughter has got awesome visuals and the sound effects of this game are also very imposing. You can also download <a href=\""http://oceanofgames.com/sherlock-holmes-crimes-and-punishments-free-download/\"" target=\""_blank\"">Sherlock Holmes Crimes and Punishments</a>.</p>",<ul><li><strong>Tested on Windows 7 64-Bit</strong></li><li>Operating System: Windows 7/8/8.1/10</li><li>CPU: 3.6GHz Intel Core i3 or later.</li><li>RAM: 6GB</li><li>Setup Size: 14.7 GB</li><li>Hard Disk Space: 20 GB</li></ul>,"<form action=\""http://oceanofgames.com/pay/Premium.php\"" method=\""post\"" target=\""_blank\""><input name=\""gname\"" type=\""hidden\"" value=\""Sherlock_Holmes_The_devils_Daughter.iso\""><div align=\""center\""><input alt=\""Download\"" height=\""100\"" src=\""http://oceanofgames.com/wp-content/uploads/2017/02/VIP-Premium.png\"" type=\""image\"" width=\""273\""></div></form>"",""<form action=\""http://oceanofgames.com/Cloud-VPS-Download.php\"" method=\""post\"" target=\""_blank\""><input name=\""filename\"" type=\""hidden\"" value=\""Sherlock_Holmes_The_devils_Daughter.iso\""><br> <input name=\""filesize\"" type=\""hidden\"" value=\""14.7GB\""><br> <input name=\""id\"" type=\""hidden\"" value=\""7ser\""><div align=\""center\""><input alt=\""Download\"" height=\""99\"" src=\""http://oceanofgames.com/wp-content/uploads/2013/09/button-download.png\"" type=\""image\"" width=\""184\""></div></form>"",""<form action=\""http://oceanofgames.com/Cloud-VPS-Download.php\"" method=\""post\"" target=\""_blank\""><input name=\""filename\"" type=\""hidden\"" value=\""Fix_Sherlock_Holmes_The_Devils_Daughter.zip\""><br> <input name=\""filesize\"" type=\""hidden\"" value=\""22.6KB\""><br> <input name=\""id\"" type=\""hidden\"" value=\""7ser\""><div align=\""center\""><input alt=\""Download\"" height=\""99\"" src=\""http://oceanofgames.com/wp-content/uploads/2013/09/button-download.png\"" type=\""image\"" width=\""184\""></div></form>"
,,,,,,,
